Head Title
"McDonald’s","Fast FoodBurger","4.0","5","Schwarzenbergplatz 17","1010","Wien","Innere Stadt","01 5054443","mcdonalds.at","Unter € 10"
"Al Sarago","PizzaItalienisches Restaurant","4.0","8","Landstraßer Hauptstr. 117","1030","Wien","Landstraße","01 9295628","","€ 11-20"
"Liu’s Wok","Chinesisches RestaurantLieferserviceAsiatisches Restaurant","4.0","8","Schopenhauerstr. 40","1180","Wien","Währing","01 9459999","liuswok.at","€ 11-20"
"Pho Sai Gon","Vietnamesisches Restaurant","4.5","5","Hegelgasse 17","1010","Wien","Innere Stadt","01 5121184","phosaigon.at","€ 11-20"
"Restaurant El Greco","Griechisches Restaurant","4.5","4","Pfauengasse 8","1060","Wien","Mariahilf","01 5874135","restaurant-elgreco.at","€ 11-20"
"","Asiatisches Restaurant","3.5","26","Schönbrunner Str.84","1050","Wien","Margareten","01 5454308","colombohoppers.com","€ 21-40"
"Mikado","Asiatisches Restaurant","4.5","5","Gymnasiumstr. 27","1180","Wien","Währing","01 4705639","mikado.cc","€ 11-20"
"Pizzeria La Piazza","Pizza","4.5","7","Gaußplatz 7-8","1200","Wien","Brigittenau","01 3309594","","€ 11-20"
"Akasaka Sushi Bar","Japanisches RestaurantSushi","4.0","6","Vorlaufstr. 5","1010","Wien","Innere Stadt","01 5339656","","Unter € 10"
"Green Apple","Asiatisches Restaurant","3.5","6","Hintere Zollamtsstrasse 2b/Top 1","1030","Wien","Landstraße","01 7152251","hizo.at/asia","Unter € 10"
"Restaurant Müldür","Türkisches RestaurantKleine Gerichte","5.0","4","Hütteldorferstr. 130c","1140","Wien","Penzing","01 9122590","Ninos","Italienisches Restaurant","4.5","9","Himmelstr. 2","1190","Wien","Döbling","01 3282828","ninos.at","€ 11-20"
"Lavanderia","Italienisches Restaurant","4.0","5","Albertgasse 51","1080","Wien","Josefstadt","01 9425045","lavanderia.at","€ 11-20"
"","Coffee ShopCaféModern-Europäisches Restaurant","3.5","8","Universitätsstr. 2","1090","Wien","Alsergrund","01 4057149","","€ 11-20"
"Delhi Delights","Indisches Restaurant","3.5","7","Ungargasse 21","1030","Wien","Landstraße","01 7127137","delhidelights.at","€ 11-20"
"Hayaci Sushi Bar","Sushi","3.5","9","Währingerstr. 14","1090","Wien","Alsergrund","0699 11152226","hayaci.at","Unter € 10"
"Buffet 019","Wirtshaus","4.0","4","Gerhardusgasse 24","1200","Wien","Brigittenau","0676 5298116","",""
"Oishii Sushi","SushiJapanisches RestaurantVietnamesisches Restaurant","4.5","3","Nussdorferstr. 86","1090","Wien","Alsergrund","0699 10742976","oishii-sushi.at","€ 11-20"
"Lucullus Restaurant","Österreichisches Restaurant","4.0","5","Neulinggasse 29","1030","Wien","Landstraße","01 7180215","lucullus-catering.at","€ 11-20"
"Tien Tsin","Chinesisches Restaurant","4.0","5","Ramperstorffergasse 47/1/5","1050","Wien","Margareten","01 5445751","","Unter € 10"
"AJ’s American Diner","Amerikanisches RestaurantBurgerDiner","3.5","8","Severingasse 5","1090","Wien","Alsergrund","01 2763390","ajsamericandiner.com/de","€ 11-20"
"","Chinesisches Restaurant","3.5","5","Porzellangasse 33","1090","Wien","Alsergrund","01 3173318","goldener-drachen.at","€ 21-40"
"Pizzeria Cara Mia","LieferserviceItalienisches RestaurantPizza","4.0","16","Pragerstraße 65","1210","Wien","Floridsdorf","01 2707886","pizzaontour.at","€ 11-20"
"Ohh Sushi&Wok","Japanisches RestaurantSushi","4.0","5","Landesgerichtsstraße 12","1010","Wien","Innere Stadt","01 9574034","ohh-sushi.at",""
"Flugfisch","Asiatisches Restaurant","4.0","5","Untere Augartenstr. 3","1020","Wien","Leopoldstadt","01 3304274","","€ 11-20"
"McDonald’s","Fast FoodBurger","3.5","6","Hernalser Gürtel 82 A - 87","1080","Wien","Josefstadt","01 4082900","mcdonalds.at","€ 11-20"
"Pizzeria Casanova","Italienisches RestaurantLieferservice","4.0","4","Neustiftgasse 145","1070","Wien","Neubau","01 5225307","pizzeria-casanova.com","€ 11-20"
"Sushigo","ImbissbudeAsiatisches Restaurant","4.5","2","Schottentor Passage","1010","Wien","Innere Stadt","0650 5338519","","€ 11-20"
"Pizzeria Da Adriano","Pizza","4.5","4","Wallensteinstr. 54","1200","Wien","Brigittenau","01 3327351","","Unter € 10"
"Akakiko","Asiatisches RestaurantJapanisches Restaurant","4.0","10","Am Platz 3","1130","Wien","Hietzing","057 333-160","akakiko.at","€ 11-20"
"Oliva Verde","PizzaItalienisches Restaurant","4.0","8","Florianigasse 15","1080","Wien","Josefstadt","01 4054106","olivaverde.at","€ 21-40"
"Donaudelta","WirtshausWein, Bier & Schnaps","4.0","5","Sechshauser Gürtel 7","1150","Wien","Rudolfsheim-Fünfhaus","0650 5641000","donaudelta.at","€ 11-20"
"Wienerwald","Deutsches RestaurantBrathähnchenFast Food","3.0","9","Goldschmiedgasse 6","1010","Wien","Innere Stadt","0501 516133","wienerwald.at","€ 11-20"
"Kebab La Diva Koc","Kebab","4.5","3","Liechtensteinstr. 16","1090","Wien","Alsergrund","01 3101238","","Unter € 10"
"Iron Chef","Chinesisches RestaurantLieferservice","4.5","2","Währinger Straße  24","1090","Wien","Alsergrund","01 3177065","","€ 11-20"
"Hasir","CaféCoffee Shop","4.5","4","Mexikoplatz 20","1020","Wien","Leopoldstadt","01 7291750","hasir.at","€ 11-20"
"Liman","Türkisches Restaurant","4.0","3","Payergasse 2veronikagasse 19","1160","Wien","Ottakring","01 4020290","liman-restaurant.at","€ 11-20"
"Wok Imbiss","Fast Food","4.5","2","Märzstr. 48","1150","Wien","Rudolfsheim-Fünfhaus","","","Unter € 10"
"Saphire","Türkisches Restaurant","4.0","3","Jägestraße 35","1200","Wien","Brigittenau","01 9681966","","€ 11-20"
